Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3570E+03 .2783E-01 .4120E-04
.3580E+03 .2615E-01 .4126E-04
.3590E+03 .2846E-01 .4780E-04
.3600E+03 .3612E-01 .6457E-04
.3610E+03 .3137E-01 .6008E-04
.3620E+03 .3217E-01 .6716E-04
.3630E+03 .3617E-01 .8186E-04
.3640E+03 .3635E-01 .8851E-04
.3650E+03 .3728E-01 .9675E-04
.3660E+03 .4387E-01 .1217E-03
.3670E+03 .4303E-01 .1271E-03
.3680E+03 .3964E-01 .1239E-03
.3690E+03 .4106E-01 .1370E-03
.3700E+03 .4464E-01 .1589E-03
.3710E+03 .4090E-01 .1550E-03
.3720E+03 .3970E-01 .1589E-03
.3730E+03 .3635E-01 .1545E-03
.3740E+03 .3260E-01 .1469E-03
.3750E+03 .3446E-01 .1643E-03
.3760E+03 .3937E-01 .1972E-03
.3770E+03 .4147E-01 .2189E-03
.3780E+03 .4974E-01 .2757E-03
.3790E+03 .4314E-01 .2501E-03
.3800E+03 .4056E-01 .2460E-03
.3810E+03 .4415E-01 .2839E-03
.3820E+03 .3387E-01 .2312E-03
.3830E+03 .2623E-01 .1897E-03
.3840E+03 .2933E-01 .2232E-03
.3850E+03 .3869E-01 .3097E-03
.3860E+03 .3561E-01 .3004E-03
.3870E+03 .3730E-01 .3306E-03
.3880E+03 .3635E-01 .3376E-03
.3890E+03 .3912E-01 .3810E-03
.3900E+03 .4543E-01 .4636E-03
.3910E+03 .4846E-01 .5179E-03
.3920E+03 .4517E-01 .5036E-03
.3930E+03 .2723E-01 .3185E-03
.3940E+03 .2809E-01 .3433E-03
.3950E+03 .4570E-01 .5829E-03
.3960E+03 .4274E-01 .5673E-03
.3970E+03 .2405E-01 .3344E-03
.3980E+03 .4804E-01 .6926E-03
.3990E+03 .6018E-01 .9078E-03
.4000E+03 .6260E-01 .9784E-03
.4010E+03 .6434E-01 .1061E-02
.4020E+03 .6681E-01 .1149E-02
.4030E+03 .6426E-01 .1152E-02
.4040E+03 .6521E-01 .1212E-02
.4050E+03 .6353E-01 .1223E-02
.4060E+03 .6189E-01 .1241E-02
.4070E+03 .6070E-01 .1267E-02
.4080E+03 .6326E-01 .1362E-02
.4090E+03 .6746E-01 .1506E-02
.4100E+03 .5743E-01 .1329E-02
.4110E+03 .6422E-01 .1540E-02
.4120E+03 .6821E-01 .1699E-02
.4130E+03 .6537E-01 .1674E-02
.4140E+03 .6459E-01 .1716E-02
.4150E+03 .6676E-01 .1838E-02
.4160E+03 .6866E-01 .1962E-02
.4170E+03 .6686E-01 .1971E-02
.4180E+03 .6388E-01 .1943E-02
.4190E+03 .6644E-01 .2085E-02
.4200E+03 .6081E-01 .1966E-02
.4210E+03 .6897E-01 .2302E-02
.4220E+03 .6791E-01 .2337E-02
.4230E+03 .6562E-01 .2331E-02
.4240E+03 .6512E-01 .2381E-02
.4250E+03 .6700E-01 .2531E-02
.4260E+03 .6504E-01 .2543E-02
.4270E+03 .6278E-01 .2520E-02
.4280E+03 .6336E-01 .2606E-02
.4290E+03 .5865E-01 .2495E-02
.4300E+03 .4673E-01 .2045E-02
.4310E+03 .4234E-01 .1895E-02
.4320E+03 .7029E-01 .3254E-02
.4330E+03 .6529E-01 .3108E-02
.4340E+03 .6024E-01 .2935E-02
.4350E+03 .6602E-01 .3285E-02
.4360E+03 .7234E-01 .3714E-02
.4370E+03 .7372E-01 .3906E-02
.4380E+03 .6453E-01 .3520E-02
.4390E+03 .6186E-01 .3423E-02
.4400E+03 .7070E-01 .4033E-02
.4410E+03 .6953E-01 .4095E-02
.4420E+03 .7420E-01 .4468E-02
.4430E+03 .7499E-01 .4543E-02
.4440E+03 .7314E-01 .4579E-02
.4450E+03 .7589E-01 .4814E-02
.4460E+03 .6809E-01 .4440E-02
.4470E+03 .7744E-01 .5219E-02
.4480E+03 .7818E-01 .5356E-02
.4490E+03 .7780E-01 .5523E-02
.4500E+03 .8042E-01 .5868E-02
.4510E+03 .8324E-01 .6212E-02
.4520E+03 .7961E-01 .6068E-02
.4530E+03 .7345E-01 .5720E-02
.4540E+03 .7870E-01 .6282E-02
.4550E+03 .7789E-01 .6348E-02
.4560E+03 .8021E-01 .6690E-02
.4570E+03 .8052E-01 .6873E-02
.4580E+03 .7840E-01 .6810E-02
.4590E+03 .7737E-01 .6895E-02
.4600E+03 .7648E-01 .6952E-02
.4610E+03 .7887E-01 .7330E-02
.4620E+03 .7948E-01 .7560E-02
.4630E+03 .7974E-01 .7677E-02
.4640E+03 .7743E-01 .7612E-02
.4650E+03 .7656E-01 .7696E-02
.4660E+03 .7815E-01 .8023E-02
.4670E+03 .7448E-01 .7736E-02
.4680E+03 .7741E-01 .8198E-02
.4690E+03 .7741E-01 .8346E-02
.4700E+03 .7415E-01 .8085E-02
.4710E+03 .7528E-01 .8362E-02
.4720E+03 .7908E-01 .8890E-02
.4730E+03 .7589E-01 .8641E-02
.4740E+03 .7655E-01 .8792E-02
.4750E+03 .7872E-01 .9112E-02
.4760E+03 .7556E-01 .8787E-02
.4770E+03 .7551E-01 .8887E-02
.4780E+03 .7743E-01 .9370E-02
.4790E+03 .7537E-01 .9431E-02
.4800E+03 .7607E-01 .9839E-02
.4810E+03 .7562E-01 .1011E-01
.4820E+03 .7563E-01 .1040E-01
.4830E+03 .7463E-01 .1052E-01
.4840E+03 .7325E-01 .1048E-01
.4850E+03 .7310E-01 .1058E-01
.4860E+03 .5935E-01 .8731E-02
.4870E+03 .6647E-01 .9959E-02
.4880E+03 .7176E-01 .1089E-01
.4890E+03 .6732E-01 .1034E-01
.4900E+03 .7492E-01 .1177E-01
.4910E+03 .7172E-01 .1152E-01
.4920E+03 .6817E-01 .1112E-01
.4930E+03 .7275E-01 .1204E-01
.4940E+03 .7085E-01 .1189E-01
.4950E+03 .7502E-01 .1277E-01
.4960E+03 .7104E-01 .1227E-01
.4970E+03 .7183E-01 .1263E-01
.4980E+03 .6936E-01 .1243E-01
.4990E+03 .6876E-01 .1254E-01
.5000E+03 .6791E-01 .1257E-01
.5010E+03 .6522E-01 .1224E-01
.5020E+03 .6443E-01 .1210E-01
.5030E+03 .6665E-01 .1249E-01
.5040E+03 .6095E-01 .1064E-01
.5050E+03 .6573E-01 .1268E-01
.5060E+03 .6804E-01 .1318E-01
.5070E+03 .6497E-01 .1267E-01
.5080E+03 .6344E-01 .1270E-01
.5090E+03 .6661E-01 .1363E-01
.5100E+03 .6494E-01 .1358E-01
.5110E+03 .6616E-01 .1421E-01
.5120E+03 .6775E-01 .1486E-01
.5130E+03 .6341E-01 .1417E-01
.5140E+03 .6179E-01 .1408E-01
.5150E+03 .6325E-01 .1463E-01
.5160E+03 .6353E-01 .1489E-01
.5170E+03 .5155E-01 .1228E-01
.5180E+03 .5871E-01 .1416E-01
.5190E+03 .5666E-01 .1383E-01
.5200E+03 .6155E-01 .1519E-01
.5210E+03 .6164E-01 .1541E-01
.5220E+03 .6260E-01 .1585E-01
.5230E+03 .5868E-01 .1505E-01
.5240E+03 .6256E-01 .1618E-01
.5250E+03 .6150E-01 .1603E-01
.5260E+03 .5932E-01 .1575E-01
.5270E+03 .5138E-01 .1373E-01
.5280E+03 .5832E-01 .1580E-01
.5290E+03 .6054E-01 .1653E-01
.5300E+03 .5776E-01 .1599E-01
.5310E+03 .6049E-01 .1698E-01
.5320E+03 .5907E-01 .1681E-01
.5330E+03 .5252E-01 .1514E-01
.5340E+03 .5608E-01 .1640E-01
.5350E+03 .5682E-01 .1684E-01
.5360E+03 .5913E-01 .1774E-01
.5370E+03 .5460E-01 .1661E-01
.5380E+03 .5715E-01 .1759E-01
.5390E+03 .5550E-01 .1729E-01
.5400E+03 .5327E-01 .1662E-01
.5410E+03 .5076E-01 .1556E-01
.5420E+03 .5489E-01 .1699E-01
.5430E+03 .5384E-01 .1740E-01
.5440E+03 .5528E-01 .1767E-01
.5450E+03 .5381E-01 .1753E-01
.5460E+03 .5291E-01 .1698E-01
.5470E+03 .5350E-01 .1772E-01
.5480E+03 .5183E-01 .1756E-01
.5490E+03 .5328E-01 .1840E-01
.5500E+03 .5265E-01 .1845E-01
.5510E+03 .5239E-01 .1866E-01
