Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3500E+03 .3031E-01 .2032E-04
.3510E+03 .3154E-01 .2283E-04
.3520E+03 .2948E-01 .2313E-04
.3530E+03 .2963E-01 .2525E-04
.3540E+03 .3440E-01 .3132E-04
.3550E+03 .3464E-01 .3406E-04
.3560E+03 .3134E-01 .3350E-04
.3570E+03 .2576E-01 .2939E-04
.3580E+03 .2421E-01 .2950E-04
.3590E+03 .2635E-01 .3425E-04
.3600E+03 .3344E-01 .4637E-04
.3610E+03 .2904E-01 .4324E-04
.3620E+03 .2978E-01 .4850E-04
.3630E+03 .3348E-01 .5928E-04
.3640E+03 .3365E-01 .6427E-04
.3650E+03 .3450E-01 .7041E-04
.3660E+03 .4060E-01 .8879E-04
.3670E+03 .3982E-01 .9293E-04
.3680E+03 .3668E-01 .9081E-04
.3690E+03 .3799E-01 .1006E-03
.3700E+03 .4130E-01 .1170E-03
.3710E+03 .3785E-01 .1143E-03
.3720E+03 .3673E-01 .1174E-03
.3730E+03 .3363E-01 .1144E-03
.3740E+03 .3016E-01 .1090E-03
.3750E+03 .3188E-01 .1221E-03
.3760E+03 .3642E-01 .1469E-03
.3770E+03 .3836E-01 .1634E-03
.3780E+03 .4600E-01 .2061E-03
.3790E+03 .3990E-01 .1872E-03
.3800E+03 .3751E-01 .1844E-03
.3810E+03 .4083E-01 .2133E-03
.3820E+03 .3132E-01 .1741E-03
.3830E+03 .2425E-01 .1432E-03
.3840E+03 .2711E-01 .1687E-03
.3850E+03 .3577E-01 .2346E-03
.3860E+03 .3293E-01 .2280E-03
.3870E+03 .3449E-01 .2513E-03
.3880E+03 .3360E-01 .2571E-03
.3890E+03 .3617E-01 .2906E-03
.3900E+03 .4199E-01 .3542E-03
.3910E+03 .4479E-01 .3963E-03
.3920E+03 .4175E-01 .3860E-03
.3930E+03 .2516E-01 .2445E-03
.3940E+03 .2596E-01 .2640E-03
.3950E+03 .4223E-01 .4489E-03
.3960E+03 .3950E-01 .4375E-03
.3970E+03 .2223E-01 .2583E-03
.3980E+03 .4439E-01 .5357E-03
.3990E+03 .5561E-01 .7033E-03
.4000E+03 .5785E-01 .7590E-03
.4010E+03 .5951E-01 .8239E-03
.4020E+03 .6179E-01 .8939E-03
.4030E+03 .5943E-01 .8972E-03
.4040E+03 .6031E-01 .9453E-03
.4050E+03 .5875E-01 .9551E-03
.4060E+03 .5723E-01 .9707E-03
.4070E+03 .5613E-01 .9929E-03
.4080E+03 .5850E-01 .1068E-02
.4090E+03 .6238E-01 .1183E-02
.4100E+03 .5310E-01 .1045E-02
.4110E+03 .5938E-01 .1213E-02
.4120E+03 .6307E-01 .1340E-02
.4130E+03 .6044E-01 .1322E-02
.4140E+03 .5972E-01 .1356E-02
.4150E+03 .6173E-01 .1454E-02
.4160E+03 .6348E-01 .1554E-02
.4170E+03 .6182E-01 .1563E-02
.4180E+03 .5907E-01 .1543E-02
.4190E+03 .6143E-01 .1657E-02
.4200E+03 .5623E-01 .1564E-02
.4210E+03 .6377E-01 .1834E-02
.4220E+03 .6279E-01 .1864E-02
.4230E+03 .6067E-01 .1861E-02
.4240E+03 .6021E-01 .1903E-02
.4250E+03 .6195E-01 .2025E-02
.4260E+03 .6014E-01 .2037E-02
.4270E+03 .5805E-01 .2021E-02
.4280E+03 .5859E-01 .2092E-02
.4290E+03 .5423E-01 .2005E-02
.4300E+03 .4322E-01 .1645E-02
.4310E+03 .3916E-01 .1526E-02
.4320E+03 .6501E-01 .2622E-02
.4330E+03 .6038E-01 .2507E-02
