Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.6830E+03 .3506E-01 .3560E-01
.6840E+03 .3476E-01 .3527E-01
.6850E+03 .3475E-01 .3572E-01
.6860E+03 .3391E-01 .3461E-01
.6870E+03 .2325E-01 .2785E-02
.6880E+03 .2746E-01 .7911E-02
.6890E+03 .2762E-01 .8178E-02
.6900E+03 .2909E-01 .1134E-01
.6910E+03 .3041E-01 .1587E-01
.6920E+03 .3101E-01 .1933E-01
.6930E+03 .2969E-01 .1833E-01
.6940E+03 .2879E-01 .1927E-01
.6950E+03 .3010E-01 .2396E-01
.6960E+03 .3001E-01 .2409E-01
.6970E+03 .3288E-01 .3171E-01
.6980E+03 .3227E-01 .3073E-01
.6990E+03 .3069E-01 .2550E-01
.7000E+03 .3036E-01 .2546E-01
Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3500E+03 .6047E-01 .1683E-02
.3510E+03 .6295E-01 .1826E-02
.3520E+03 .5889E-01 .1783E-02
.3530E+03 .5899E-01 .1870E-02
.3540E+03 .6837E-01 .2247E-02
.3550E+03 .6884E-01 .2359E-02
.3560E+03 .6220E-01 .2231E-02
.3570E+03 .5110E-01 .1899E-02
.3580E+03 .4797E-01 .1849E-02
.3590E+03 .5219E-01 .2085E-02
.3600E+03 .6623E-01 .2742E-02
.3610E+03 .5745E-01 .2471E-02
.3620E+03 .5886E-01 .2654E-02
.3630E+03 .6614E-01 .3117E-02
.3640E+03 .6642E-01 .3260E-02
.3650E+03 .6809E-01 .3463E-02
.3660E+03 .8006E-01 .4227E-02
.3670E+03 .7848E-01 .4292E-02
.3680E+03 .7225E-01 .4079E-02
.3690E+03 .7479E-01 .4381E-02
.3700E+03 .8125E-01 .4934E-02
.3710E+03 .7441E-01 .4680E-02
.3720E+03 .7215E-01 .4680E-02
.3730E+03 .6602E-01 .4430E-02
.3740E+03 .5918E-01 .4103E-02
.3750E+03 .6251E-01 .4474E-02
.3760E+03 .7136E-01 .5254E-02
.3770E+03 .7511E-01 .5697E-02
.3780E+03 .9000E-01 .7023E-02
.3790E+03 .7801E-01 .6247E-02
.3800E+03 .7329E-01 .6021E-02
.3810E+03 .7970E-01 .6767E-02
.3820E+03 .6109E-01 .5362E-02
.3830E+03 .4726E-01 .4285E-02
.3840E+03 .5280E-01 .4925E-02
.3850E+03 .6959E-01 .6680E-02
.3860E+03 .6400E-01 .6329E-02
.3870E+03 .6697E-01 .6811E-02
.3880E+03 .6520E-01 .6809E-02
.3890E+03 .7010E-01 .7522E-02
.3900E+03 .8131E-01 .8962E-02
.3910E+03 .8664E-01 .9805E-02
.3920E+03 .8069E-01 .9354E-02
.3930E+03 .4858E-01 .5789E-02
.3940E+03 .5006E-01 .6118E-02
.3950E+03 .8135E-01 .1019E-01
.3960E+03 .7600E-01 .9739E-02
.3970E+03 .4271E-01 .5621E-02
.3980E+03 .8521E-01 .1145E-01
.3990E+03 .1066E+00 .1471E-01
.4000E+03 .1108E+00 .1560E-01
.4010E+03 .1128E+00 .1659E-01
.4020E+03 .1170E+00 .1764E-01
.4030E+03 .1124E+00 .1735E-01
.4040E+03 .1140E+00 .1796E-01
.4050E+03 .1109E+00 .1783E-01
.4060E+03 .1079E+00 .1777E-01
.4070E+03 .1057E+00 .1782E-01
.4080E+03 .1100E+00 .1889E-01
.4090E+03 .1172E+00 .2055E-01
.4100E+03 .9963E-01 .1784E-01
.4110E+03 .1113E+00 .2035E-01
.4120E+03 .1180E+00 .2206E-01
.4130E+03 .1129E+00 .2146E-01
