Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3500E+03 .1829E-01 .8578E-07
.3510E+03 .1905E-01 .1016E-06
.3520E+03 .1782E-01 .1078E-06
.3530E+03 .1796E-01 .1240E-06
.3540E+03 .2095E-01 .1642E-06
.3550E+03 .2112E-01 .1872E-06
.3560E+03 .1909E-01 .1912E-06
.3570E+03 .1573E-01 .1777E-06
.3580E+03 .1482E-01 .1885E-06
.3590E+03 .1616E-01 .2311E-06
.3600E+03 .2054E-01 .3295E-06
.3610E+03 .1786E-01 .3211E-06
.3620E+03 .1825E-01 .3672E-06
.3630E+03 .2047E-01 .4601E-06
.3640E+03 .2054E-01 .5150E-06
.3650E+03 .2107E-01 .5886E-06
.3660E+03 .2477E-01 .7697E-06
.3670E+03 .2430E-01 .8386E-06
.3680E+03 .2240E-01 .8577E-06
.3690E+03 .2317E-01 .9828E-06
.3700E+03 .2515E-01 .1180E-05
.3710E+03 .2302E-01 .1193E-05
.3720E+03 .2235E-01 .1278E-05
.3730E+03 .2044E-01 .1288E-05
.3740E+03 .1831E-01 .1270E-05
.3750E+03 .1934E-01 .1475E-05
.3760E+03 .2210E-01 .1851E-05
.3770E+03 .2327E-01 .2136E-05
.3780E+03 .2790E-01 .2805E-05
.3790E+03 .2422E-01 .2664E-05
.3800E+03 .2279E-01 .2739E-05
.3810E+03 .2473E-01 .3245E-05
.3820E+03 .1892E-01 .2706E-05
.3830E+03 .1461E-01 .2276E-05
.3840E+03 .1632E-01 .2765E-05
.3850E+03 .2149E-01 .3958E-05
.3860E+03 .1974E-01 .3946E-05
.3870E+03 .2064E-01 .4474E-05
.3880E+03 .2009E-01 .4717E-05
.3890E+03 .2159E-01 .5487E-05
.3900E+03 .2503E-01 .6876E-05
.3910E+03 .2665E-01 .7909E-05
.3920E+03 .2483E-01 .7950E-05
.3930E+03 .1493E-01 .5153E-05
.3940E+03 .1538E-01 .5716E-05
.3950E+03 .2499E-01 .9993E-05
.3960E+03 .2336E-01 .1004E-04
.3970E+03 .1311E-01 .6052E-05
.3980E+03 .2618E-01 .1297E-04
.3990E+03 .3272E-01 .1737E-04
.4000E+03 .3404E-01 .1935E-04
.4010E+03 .3571E-01 .2151E-04
.4020E+03 .3699E-01 .2383E-04
.4030E+03 .3551E-01 .2444E-04
.4040E+03 .3600E-01 .2645E-04
.4050E+03 .3504E-01 .2746E-04
.4060E+03 .3406E-01 .2845E-04
.4070E+03 .3333E-01 .2966E-04
.4080E+03 .3473E-01 .3291E-04
.4090E+03 .3699E-01 .3728E-04
.4100E+03 .3144E-01 .3367E-04
.4110E+03 .3511E-01 .3992E-04
.4120E+03 .3721E-01 .4488E-04
.4130E+03 .3567E-01 .4562E-04
.4140E+03 .3518E-01 .4767E-04
.4150E+03 .3630E-01 .5209E-04
.4160E+03 .3725E-01 .5656E-04
.4170E+03 .3625E-01 .5821E-04
.4180E+03 .3461E-01 .5872E-04
.4190E+03 .3596E-01 .6441E-04
.4200E+03 .3290E-01 .6217E-04
.4210E+03 .3727E-01 .7428E-04
.4220E+03 .3666E-01 .7703E-04
.4230E+03 .3538E-01 .7834E-04
.4240E+03 .3509E-01 .8182E-04
.4250E+03 .3605E-01 .8844E-04
.4260E+03 .3493E-01 .9006E-04
.4270E+03 .3372E-01 .9131E-04
.4280E+03 .3404E-01 .9676E-04
.4290E+03 .3145E-01 .9377E-04
.4300E+03 .2504E-01 .7831E-04
.4310E+03 .2271E-01 .7445E-04
.4320E+03 .3762E-01 .1293E-03
.4330E+03 .3493E-01 .1257E-03
.4340E+03 .3224E-01 .1214E-03
.4350E+03 .3537E-01 .1392E-03
.4360E+03 .3870E-01 .1592E-03
.4370E+03 .3937E-01 .1693E-03
.4380E+03 .3443E-01 .1546E-03
.4390E+03 .3309E-01 .1552E-03
.4400E+03 .3777E-01 .1850E-03
.4410E+03 .3707E-01 .1892E-03
.4420E+03 .3954E-01 .2086E-03
.4430E+03 .3998E-01 .2137E-03
.4440E+03 .3903E-01 .2217E-03
.4450E+03 .4059E-01 .2387E-03
.4460E+03 .3638E-01 .2222E-03
.4470E+03 .4137E-01 .2668E-03
.4480E+03 .4188E-01 .2818E-03
.4490E+03 .4156E-01 .2913E-03
.4500E+03 .4293E-01 .3126E-03
.4510E+03 .4445E-01 .3360E-03
.4520E+03 .4254E-01 .3335E-03
.4530E+03 .3927E-01 .3192E-03
.4540E+03 .4207E-01 .3544E-03
.4550E+03 .4166E-01 .3639E-03
.4560E+03 .4291E-01 .3883E-03
.4570E+03 .4308E-01 .4039E-03
.4580E+03 .4200E-01 .4079E-03
.4590E+03 .4142E-01 .4166E-03
.4600E+03 .4097E-01 .4265E-03
.4610E+03 .4226E-01 .4549E-03
.4620E+03 .4259E-01 .4737E-03
.4630E+03 .4285E-01 .4921E-03
.4640E+03 .4164E-01 .4934E-03
.4650E+03 .4118E-01 .5034E-03
.4660E+03 .4206E-01 .5303E-03
.4670E+03 .4018E-01 .5220E-03
.4680E+03 .4179E-01 .5595E-03
.4690E+03 .4181E-01 .5753E-03
.4700E+03 .4010E-01 .5625E-03
.4710E+03 .4078E-01 .5938E-03
.4720E+03 .4295E-01 .6443E-03
.4730E+03 .4130E-01 .6374E-03
.4740E+03 .4182E-01 .6692E-03
.4750E+03 .4315E-01 .7124E-03
.4760E+03 .4155E-01 .7062E-03
.4770E+03 .4160E-01 .7276E-03
.4780E+03 .4261E-01 .7665E-03
.4790E+03 .4139E-01 .7656E-03
.4800E+03 .4169E-01 .7926E-03
.4810E+03 .4134E-01 .8076E-03
.4820E+03 .4129E-01 .8283E-03
.4830E+03 .4073E-01 .8387E-03
.4840E+03 .4006E-01 .8463E-03
.4850E+03 .4004E-01 .8591E-03
.4860E+03 .3257E-01 .7180E-03
.4870E+03 .3652E-01 .8271E-03
.4880E+03 .3951E-01 .9180E-03
.4890E+03 .3715E-01 .8833E-03
.4900E+03 .4134E-01 .1011E-02
.4910E+03 .3958E-01 .9940E-03
.4920E+03 .3768E-01 .9695E-03
.4930E+03 .4028E-01 .1062E-02
.4940E+03 .3930E-01 .1061E-02
.4950E+03 .4168E-01 .1152E-02
.4960E+03 .3953E-01 .1118E-02
.4970E+03 .4000E-01 .1157E-02
.4980E+03 .3862E-01 .1143E-02
.4990E+03 .3830E-01 .1159E-02
.5000E+03 .3785E-01 .1165E-02
.5010E+03 .3639E-01 .1143E-02
.5020E+03 .3600E-01 .1125E-02
.5030E+03 .3729E-01 .1156E-02
.5040E+03 .3415E-01 .9482E-03
.5050E+03 .3691E-01 .1206E-02
.5060E+03 .3823E-01 .1253E-02
.5070E+03 .3656E-01 .1209E-02
.5080E+03 .3576E-01 .1225E-02
.5090E+03 .3765E-01 .1341E-02
.5100E+03 .3680E-01 .1362E-02
.5110E+03 .3757E-01 .1452E-02
.5120E+03 .3853E-01 .1539E-02
.5130E+03 .3610E-01 .1478E-02
.5140E+03 .3520E-01 .1480E-02
.5150E+03 .3608E-01 .1548E-02
.5160E+03 .3630E-01 .1589E-02
.5170E+03 .2948E-01 .1317E-02
.5180E+03 .3364E-01 .1533E-02
.5190E+03 .3253E-01 .1512E-02
